,BusId,RouteAccess,BusStops,Capacity,Speed,Direction,Source,Destination,Zone
30,31,111-U,"['111-U-00', '111-U-01', '111-U-02', '111-U-03', '111-U-04', '111-U-05', '111-U-06', '111-U-07', '111-U-08', '111-U-09', '111-U-10', '111-U-11', '111-U-12', '111-U-13', '111-U-14', '111-U-15', '111-U-16', '111-U-17', '111-U-18', '111-U-19', '111-U-20', '111-U-21', '111-U-22', '111-U-23', '111-U-24', '111-U-25', '111-U-26', '111-U-27', '111-U-28', '111-U-29', '111-U-30', '111-U-31', '111-U-32', '111-U-33', '111-U-34']",50,80,Up,111-U-00,111-U-34,Zone 4
31,32,112-D,"['112-D-00', '112-D-01', '112-D-02', '112-D-03', '112-D-04', '112-D-05', '112-D-06', '112-D-07', '112-D-08', '112-D-09', '112-D-10', '112-D-11', '112-D-12', '112-D-13', '112-D-14', '112-D-15', '112-D-16', '112-D-17', '112-D-18', '112-D-19', '112-D-20']",50,80,Down,112-D-00,112-D-20,Zone 4
32,33,112-U,"['112-U-00', '112-U-01', '112-U-02', '112-U-03', '112-U-04', '112-U-05', '112-U-06', '112-U-07', '112-U-08', '112-U-09', '112-U-10', '112-U-11', '112-U-12', '112-U-13', '112-U-14', '112-U-15', '112-U-16', '112-U-17', '112-U-18', '112-U-19', '112-U-20']",50,80,Up,112-U-00,112-U-20,Zone 4
33,34,113-D,"['113-D-00', '113-D-01', '113-D-02', '113-D-03', '113-D-04', '113-D-05', '113-D-06', '113-D-07', '113-D-08', '113-D-09', '113-D-10', '113-D-11', '113-D-12', '113-D-13', '113-D-14', '113-D-15', '113-D-16', '113-D-17', '113-D-18', '113-D-19', '113-D-20', '113-D-21', '113-D-22', '113-D-23', '113-D-24', '113-D-25', '113-D-26', '113-D-27', '113-D-28']",50,80,Down,113-D-00,113-D-28,Zone 4
34,35,113-U,"['113-U-00', '113-U-01', '113-U-02', '113-U-03', '113-U-04', '113-U-05', '113-U-06', '113-U-07', '113-U-08', '113-U-09', '113-U-10', '113-U-11', '113-U-12', '113-U-13', '113-U-14', '113-U-15', '113-U-16', '113-U-17', '113-U-18', '113-U-19', '113-U-20', '113-U-21', '113-U-22', '113-U-23', '113-U-24', '113-U-25']",50,80,Up,113-U-00,113-U-25,Zone 3
35,36,113A-D,"['113A-D-00', '113A-D-01', '113A-D-02', '113A-D-03', '113A-D-04', '113A-D-05', '113A-D-06', '113A-D-07', '113A-D-08', '113A-D-09', '113A-D-10', '113A-D-11', '113A-D-12', '113A-D-13', '113A-D-14', '113A-D-15', '113A-D-16', '113A-D-17', '113A-D-18', '113A-D-19', '113A-D-20', '113A-D-21', '113A-D-22', '113A-D-23', '113A-D-24', '113A-D-25', '113A-D-26', '113A-D-27', '113A-D-28', '113A-D-29', '113A-D-30']",50,80,Down,113A-D-00,113A-D-30,Zone 3
36,37,113A-U,"['113A-U-00', '113A-U-01', '113A-U-02', '113A-U-03', '113A-U-04', '113A-U-05', '113A-U-06', '113A-U-07', '113A-U-08', '113A-U-09', '113A-U-10', '113A-U-11', '113A-U-12', '113A-U-13', '113A-U-14', '113A-U-15', '113A-U-16', '113A-U-17', '113A-U-18', '113A-U-19', '113A-U-20', '113A-U-21', '113A-U-22', '113A-U-23', '113A-U-24', '113A-U-25', '113A-U-26', '113A-U-27', '113A-U-28', '113A-U-29', '113A-U-30', '113A-U-31']",50,80,Up,113A-U-00,113A-U-31,Zone 3
37,38,113B-D,"['113B-D-00', '113B-D-01', '113B-D-02', '113B-D-03', '113B-D-04', '113B-D-05', '113B-D-06', '113B-D-07', '113B-D-08', '113B-D-09', '113B-D-10', '113B-D-11', '113B-D-12', '113B-D-13', '113B-D-14', '113B-D-15', '113B-D-16', '113B-D-17', '113B-D-18', '113B-D-19', '113B-D-20', '113B-D-21', '113B-D-22', '113B-D-23', '113B-D-24', '113B-D-25', '113B-D-26', '113B-D-27', '113B-D-28']",50,80,Down,113B-D-00,113B-D-28,Zone 2
38,39,113B-U,"['113B-U-00', '113B-U-01', '113B-U-02', '113B-U-03', '113B-U-04', '113B-U-05', '113B-U-06', '113B-U-07', '113B-U-08', '113B-U-09', '113B-U-10', '113B-U-11', '113B-U-12', '113B-U-13', '113B-U-14', '113B-U-15', '113B-U-16', '113B-U-17', '113B-U-18', '113B-U-19', '113B-U-20', '113B-U-21', '113B-U-22', '113B-U-23', '113B-U-24', '113B-U-25', '113B-U-26', '113B-U-27', '113B-U-28']",50,80,Up,113B-U-00,113B-U-28,Zone 2
39,40,114-D,"['114-D-00', '114-D-01', '114-D-02', '114-D-03', '114-D-04', '114-D-05', '114-D-06', '114-D-07', '114-D-08', '114-D-09', '114-D-10', '114-D-11', '114-D-12', '114-D-13', '114-D-14', '114-D-15', '114-D-16', '114-D-17', '114-D-18', '114-D-19', '114-D-20', '114-D-21', '114-D-22', '114-D-23', '114-D-24', '114-D-25']",50,80,Down,114-D-00,114-D-25,Zone 3
