ID,Direction,StopName,StopCode,Latitude,Longitude,Status,StopType,Routes,Zone
5268,UP,tulsi chemicals,302C-U-04,18.62793167,73.83205333,Inactive,Secondary,"['302-U', '331D-U', '362B-U', '302C-U']",Zone 4
5269,UP,philips,302C-U-05,18.62549667,73.83410333,Inactive,Secondary,"['344B-U', '362B-U', '331D-U', '302C-U', '302-U']",Zone 4
5270,UP,landewadi,302C-U-06,18.619723,73.841691,Inactive,Secondary,"['344B-U', '367B-U', '304A-U', '362B-U', '331D-U', '367-U', '302C-U', '302-U', '304-U']",Zone 4
5271,UP,agnishamak kendra landewadi,302C-U-07,18.6199,73.84504667,Inactive,Secondary,"['344B-U', '367B-U', '304A-U', '362B-U', '331D-U', '367-U', '302C-U', '302-U', '304-U']",Zone 4
5272,UP,gavhanevasti bhosari,302C-U-08,18.620493,73.849265,Active,Primary,"['344B-U', '367B-U', '304A-U', '362B-U', '331D-U', '367-U', '302C-U', '302-U', '304-U']",Zone 4
5273,DOWN,nehrunagar depot,302D-D-00,18.63083,73.82513,Inactive,Secondary,"['335B-D', '376D-D', '302C-D', '302D-D', '323C-D', '310A-D', '326B-D', '323B-D', '304A-D']",Zone 4
5274,DOWN,jyoti english school,302D-D-01,18.63077164,73.82370758,Active,Primary,"['376D-D', '326B-D', '302D-D', '302-D', '310A-D', '335B-D', '362B-D']",Zone 4
5275,DOWN,nehrunagar,302D-D-02,18.62979333,73.82002333,Active,Primary,"['376D-D', '326B-D', '302D-D', '302-D', '310A-D', '335B-D', '362B-D']",Zone 4
5276,DOWN,nehrunagar corner,302D-D-03,18.629608,73.819331,Active,Primary,"['302D-D', '323B-D', '323C-D', '326B-D']",Zone 4
5277,DOWN,ha corner,302D-D-04,18.628555,73.81514,Inactive,Secondary,"['326B-D', '302D-D', '302-D', '310A-D', '335B-D']",Zone 4
5278,DOWN,kamgarnagar,302D-D-05,18.62908,73.81219,Active,Primary,"['326B-D', '302D-D', '302-D', '310A-D', '335B-D']",Zone 4
5279,DOWN,gandhinagar,302D-D-06,18.62906078,73.80790116,Active,Primary,"['326B-D', '302D-D', '302-D', '310A-D', '335B-D']",Zone 4
5280,DOWN,mahindra company,302D-D-07,18.627035,73.80638833,Inactive,Secondary,"['326B-D', '302D-D', '302-D', '310A-D', '335B-D']",Zone 4
5281,DOWN,pimpri,302D-D-08,18.6267471,73.8055267,Active,Primary,"['326-D', '335B-D', '334-D', '302D-D', '302-D', '310A-D', '326B-D', '317A-D']",Zone 4
5282,DOWN,kundan hotel,302D-D-09,18.625565,73.80536167,Active,Primary,"['326-D', '302D-D', '302-D', '334-D']",Zone 4
5283,DOWN,gokul hotel,302D-D-10,18.62465167,73.80330667,Active,Primary,"['326-D', '302D-D', '302-D', '334-D']",Zone 4
5284,DOWN,shagun chowk,302D-D-11,18.62213,73.80194333,Inactive,Secondary,"['326-D', '334-D', '302D-D', '302-D', '350B-D']",Zone 4
5285,DOWN,jijamata hospital,302D-D-12,18.61911,73.80083,Active,Primary,"['326-D', '334-D', '302D-D', '302-D', '350B-D']",Zone 4
5286,DOWN,jayhind highschool,302D-D-13,18.61740875,73.80108643,Active,Primary,"['326-D', '334-D', '302D-D', '302-D', '350B-D']",Zone 4
5287,DOWN,ashok talkies,302D-D-14,18.6149044,73.80408478,Active,Primary,"['326-D', '334-D', '302D-D', '302-D', '350B-D']",Zone 4
5288,DOWN,pimprinagar ma na pa shala,302D-D-15,18.61195,73.80384,Active,Primary,"['326-D', '334-D', '302D-D', '302-D', '350B-D']",Zone 4
5289,DOWN,pimprigaon,302D-D-16,18.61190833,73.80447333,Active,Primary,"['326-D', '334-D', '302D-D', '302-D', '350B-D']",Zone 4
5290,UP,pimprigaon,302D-U-00,18.61190833,73.80447333,Active,Primary,"['334-U', '350B-U', '326-U', '302-U', '302D-U']",Zone 4
5291,UP,ashok talkies,302D-U-01,18.6149044,73.80408478,Inactive,Secondary,"['334-U', '350B-U', '326-U', '302-U', '302D-U']",Zone 4
5292,UP,jayhind highschool,302D-U-02,18.61716833,73.80084833,Inactive,Secondary,"['334-U', '350B-U', '326-U', '302-U', '302D-U']",Zone 4
5293,UP,jijamata hospital,302D-U-03,18.619093,73.800872,Inactive,Secondary,"['334-U', '331C-U', '350B-U', '326-U', '302-U', '302D-U']",Zone 4
5294,UP,karachi chowk,302D-U-04,18.62123489,73.80167389,Inactive,Secondary,"['334-U', '350B-U', '326-U', '302-U', '302D-U']",Zone 4
5295,UP,lal mandir,302D-U-05,18.62314796,73.79858398,Active,Primary,"['302-U', '302D-U', '326-U', '334-U']",Zone 4
